ocnt_batch	ammonium_fluoride_area	ammonium_formate_area
OCNT-2315460-AA-004	44220.5	22898.5
OCNT-2318019-AA-004	140094.5	104713.5
OCNT-2314180-AA-004	388470.5	236139
OCNT-2316739-AA-004	66622	37756
OCNT-2313876-AA-004	293008	98393.5
OCNT-2315156-AA-004	2049.5	589.5
OCNT-2316435-AA-004	2911.5	491.5
OCNT-2317715-AA-004	27214	7578.5
OCNT-2316755-AA-004	157866.5	114931.5
OCNT-2315476-AA-004	180434	55201.5
OCNT-2318035-AA-004	15476	2912
OCNT-2314196-AA-004	10902	3880
OCNT-2317731-AA-004	246576	61462.5
OCNT-2316451-AA-004	14159.5	3117
OCNT-2313892-AA-004	72189	28860
OCNT-2315172-AA-004	49599	13176
OCNT-2318051-AA-004	42993	6706
OCNT-2314212-AA-004	51465.5	7654
OCNT-2315492-AA-004	86649	37730.5
OCNT-2317427-AA-004	12611.5	2072.5
OCNT-2316147-AA-004	40761.5	23668.5
OCNT-2314868-AA-004	42566.5	7050.5
OCNT-0022070-AQ-003	207054	152673.5
OCNT-2313588-AA-004	87801.5	40768
OCNT-2316467-AA-004	91	43.5
OCNT-2313908-AA-004	9991.5	3228
OCNT-2315188-AA-004	208686	128914
OCNT-2317747-AA-004	14834	5835.5
OCNT-2328502-AA-001	1357.5	388
OCNT-2313604-AA-004	34494	17484.5
OCNT-2317443-AA-004	45019	21748
OCNT-2328322-AA-001	124882	42701.5
OCNT-2316163-AA-004	53083.5	20359
OCNT-2314884-AA-004	123889	13933.5
OCNT-2316483-AA-004	51109.5	43782.5
OCNT-2313924-AA-004	14269	3141
OCNT-2315204-AA-004	82191.5	10558.5
OCNT-2328474-AA-001	24438.5	3169
OCNT-2317763-AA-004	10645	4727.5
OCNT-2317459-AA-004	58777.5	35878.5
OCNT-2316179-AA-004	165879.5	56834
OCNT-2313620-AA-004	180606	86169
OCNT-2328347-AQ-001	241180	136795
OCNT-2314900-AA-004	61679	19905.5
OCNT-2328976-AA-001	155	85
OCNT-2314580-AA-004	19304.5	6358
OCNT-2317139-AA-004	38196	6801
OCNT-2315860-AA-004	189395.5	76248.5
OCNT-2318417-AA-004	105614.5	33549
OCNT-2314276-AA-004	40420.5	21057
OCNT-2316835-AA-004	10440.5	2987.5
OCNT-2315556-AA-004	29539	8454
OCNT-2328511-GD-001	24882.5	23459
OCNT-2318114-AA-004	285091	182281.5
OCNT-2314596-AA-004	24808	19365
OCNT-2318433-AA-004	410219.5	278137
OCNT-2317155-AA-004	18677	10759.5
OCNT-0494162-AA-002	35	41
OCNT-2315875-AA-004	151309.5	115870
OCNT-2315572-AA-004	74684	41352.5
OCNT-2318130-AA-004	22331.5	3913.5
OCNT-2328539-AA-001	167	82
OCNT-2316851-AA-004	21703.5	9932
OCNT-2314292-AA-004	27079	10283
OCNT-2317171-AA-004	63001.5	21975.5
OCNT-2314612-AA-004	50370.5	9600
OCNT-2328903-AA-001	2060.5	276
OCNT-2315891-AA-004	394901.5	281136.5
OCNT-2318449-AA-004	2682	257.5
OCNT-2315588-AA-004	70020	22474.5
OCNT-0498014-AA-002	0	0
OCNT-2318146-AA-004	0	0
OCNT-2314308-AA-004	60654.5	11929.5
OCNT-2316867-AA-004	81924	41312
OCNT-2318465-AA-004	90183.5	44546.5
OCNT-2315907-AA-004	9325.5	4376
OCNT-2328874-AA-001	5887	1305
OCNT-2314628-AA-004	12374.5	9220
OCNT-2317187-AA-004	24920	11707.5
OCNT-2314324-AA-004	23360.5	5772.5
OCNT-2328558-AQ-001	478428	231340
OCNT-2315604-AA-004	149427.5	73909.5
OCNT-2316883-AA-004	33418	8058.5
OCNT-2318162-AA-004	32383	16280.5
OCNT-2318481-AA-004	36747.5	10460.5
OCNT-2315923-AA-004	31461	15962.5
OCNT-2328856-AA-001	1187.5	1887.5
OCNT-2317203-AA-004	45239	16011
OCNT-2314644-AA-004	429070	261625
OCNT-0498064-AA-003	61526.5	38952.5
OCNT-2316899-AA-004	190003	91634.5
OCNT-2318178-AA-004	44127	16812.5
OCNT-2315620-AA-004	46623.5	27254
OCNT-2317219-AQ-004	172630	106132.5
OCNT-2328881-AA-001	4804	393.5
OCNT-2318497-AA-004	82148	40199.5
OCNT-2314660-AA-004	9258	2424
OCNT-2315939-AA-004	149773	31630.5
OCNT-2318194-AA-004	5523.5	1131
OCNT-2315636-AA-004	358072	152789
OCNT-2328578-AA-001	6788	1712.5
OCNT-2314356-AA-004	36644.5	6614
OCNT-2316915-AA-004	40732.5	28236.5
OCNT-2318513-AA-004	38610.5	13087
OCNT-2315955-AA-004	22127.5	6666
OCNT-2317235-AA-004	5303.5	1754.5
OCNT-2314676-AA-004	31633.5	5361
OCNT-2328836-AA-001	2368.5	181
OCNT-2316931-AA-004	55222	14694
OCNT-2314372-AA-004	29064.5	8653
OCNT-2318210-AA-004	11920.5	3149.5
OCNT-2328567-AQ-001	62834.5	41646
OCNT-2315652-AA-004	44086.5	12914.5
OCNT-2317251-AA-004	34654	11522
OCNT-2315971-AA-004	168763.5	29751.5
OCNT-2314692-AA-004	169501	47572.5
OCNT-2328886-AA-001	3254.5	502.5
OCNT-2318529-AA-004	88391.5	30763.5
OCNT-2316947-AA-004	8031.5	1569.5
OCNT-2314388-AA-004	1904	39
OCNT-2318226-AA-004	64513.5	13201
OCNT-2329003-AQ-001	53625	33928
OCNT-2315668-AA-004	22494	5805.5
OCNT-2314708-AA-004	149220.5	43356
OCNT-2318545-AA-004	160885	58594
OCNT-2328846-AA-001	0	0
OCNT-2317267-AA-004	26152	3027.5
OCNT-2315987-AA-004	6312.5	3389.5
OCNT-2318242-AA-004	14894	5870
OCNT-2315684-AA-004	20054.5	10051
OCNT-2314404-AA-004	11292	2583.5
OCNT-2316963-AA-004	35898.5	13855
OCNT-0498074-AA-002	97286.5	30779.5
OCNT-2318561-AA-004	21195	7138
OCNT-2314724-AA-004	81736.5	25698.5
OCNT-2317283-AA-004	338941	138650
OCNT-0498017-AA-002	28054	11127.5
OCNT-2316003-AA-004	128882	59361.5
OCNT-2316979-AA-004	43170.5	13935
OCNT-2315700-AA-004	101677.5	53930.5
OCNT-0022141-AQ-004	387062.5	253917.5
OCNT-2314420-AA-004	8330	1668.5
OCNT-2318258-AA-004	60267	25364.5
OCNT-2318577-AA-004	5480.5	2362
OCNT-2316019-AA-004	120392	44797
OCNT-2317299-AA-004	42225	11345
OCNT-2328648-AA-001	38334.5	32923
OCNT-2316995-AA-004	38441	15400.5
OCNT-2315716-AA-004	74	0
OCNT-0022271-AA-003	78389.5	14384
OCNT-2318274-AA-004	56141.5	10973
OCNT-2314436-AA-004	56975.5	15880
OCNT-2317315-AA-004	3935.5	590
OCNT-2318593-AA-004	4378.5	584
OCNT-2314756-AA-004	30339.5	9786
OCNT-2316035-AA-004	7989	1548
OCNT-2317011-AA-004	182320.5	91091.5
OCNT-2315732-AA-004	5495	1667.5
OCNT-0493812-AA-002	2512.5	1050
OCNT-2318290-AA-004	297125.5	192632
OCNT-2314452-FP-004	18962	3032.5
OCNT-2314772-AA-004	98963.5	63242
OCNT-2328660-AQ-001	316356	142298
OCNT-2316051-AA-004	7072	959
OCNT-2318609-AA-004	17285.5	6193
OCNT-2317331-AA-004	8568	1611.5
OCNT-2328619-AA-001	95	0
OCNT-2314468-AA-004	131097.5	39207.5
OCNT-2315748-AA-004	3115.5	921.5
OCNT-2317027-AA-004	20067.5	5861
OCNT-2318306-AA-004	272224	104824
OCNT-2318625-AA-004	170697	32426.5
OCNT-2314788-AA-004	21390.5	9682
OCNT-2316067-AA-004	24545	14111
OCNT-2328898-BA-001	25970.5	14243.5
OCNT-2317347-AA-004	16975	3762
OCNT-2328641-AA-001	53	0
OCNT-2314484-AA-004	37765	6037
OCNT-2317043-AA-004	89879	48167.5
OCNT-2315764-AA-004	28198	17919.5
OCNT-2318322-AA-004	17442	3465
OCNT-2314804-AA-004	10434	2737.5
OCNT-2318641-AA-004	119915	46534.5
OCNT-2328649-FJ-001	0	0
OCNT-2316083-AA-004	196996	111128
OCNT-2317363-AA-004	90840.5	70449.5
OCNT-2318338-AA-004	15336.5	3830
OCNT-2314500-AA-004	4627.5	480.5
OCNT-2328631-AA-001	3126	667.5
OCNT-2315780-AA-004	344866	111840
OCNT-2317059-AA-004	315888	134012
OCNT-2314601-AA-004	151760	144066
OCNT-2314186-AA-004	105255.5	60647.5
OCNT-2314575-AA-004	34039.5	13764.5
OCNT-2316220-AA-004	15437	8596.5
OCNT-2317379-AA-004	352257.5	118620.5
OCNT-2316099-AA-004	831	444.5
OCNT-2314820-AA-004	13721.5	2416
OCNT-2318657-AA-004	105048	18953
OCNT-2315796-AA-004	7101	3401.5
OCNT-2314516-AA-004	48184	19278.5
OCNT-2318353-AA-004	15519.5	6378
OCNT-2317075-AA-004	16942	10516.5
OCNT-2314836-AA-004	87274.5	74605
OCNT-2317395-AA-004	157276	69106.5
OCNT-2316115-AA-004	43806	6925.5
OCNT-2318673-AA-004	106466.5	50318
OCNT-2318369-AA-004	68884.5	20020.5
OCNT-2317091-AA-004	9403.5	2692
OCNT-2314532-AA-004	31191	11418
OCNT-2315812-AA-004	11243	2255
OCNT-2314852-AA-004	8818	1811
OCNT-2316131-AA-004	87241	26218.5
OCNT-2318689-AA-004	27228.5	11844.5
OCNT-2317411-AA-004	17419.5	6955.5
OCNT-2318067-AA-004	64709	48446
OCNT-2314228-AA-004	127599.5	96613
OCNT-2315508-AA-004	81515.5	18664
OCNT-0022267-AQ-002	297756.5	211272
OCNT-2315828-AA-004	27738.5	9970
OCNT-2318385-AA-004	155347	118133
OCNT-2328910-AA-001	0	0
OCNT-2314548-AA-004	33329	6547
OCNT-2317107-AA-004	28529	15108
OCNT-2314244-AA-004	116504.5	64840
OCNT-0004530-AA-002	89464.5	11965.5
OCNT-2315524-AA-004	47228	25981.5
OCNT-2316803-AA-004	913	35.5
OCNT-2318083-AA-004	27808.5	8567.5
OCNT-2318401-AA-004	38264	12565.5
OCNT-2328862-AA-001	80883	12484
OCNT-2314564-AA-004	34239.5	5859
OCNT-2317123-AA-004	23474	8842.5
OCNT-2315844-AA-004	28939	9516.5
OCNT-2328520-AA-001	111428	29145
OCNT-2316819-AA-004	22935.5	13905.5
OCNT-2314260-AA-004	57159	16066.5
OCNT-2318098-AA-004	54039	10652
OCNT-2315540-AA-004	81255.5	26075
OCNT-2315221-AA-004	25527.5	9692.5
OCNT-2313941-AA-004	6914.5	1941
OCNT-2316500-AA-004	36802	10533.5
OCNT-2328702-AA-001	460	120.5
OCNT-2317780-AA-004	430795	144727.5
OCNT-2314917-AA-004	641	159.5
OCNT-2328339-AA-002	18891	6206.5
OCNT-2313637-AA-004	80688	27309.5
OCNT-2316196-AA-004	74984.5	15701.5
OCNT-2317476-AA-004	34016.5	18576.5
OCNT-2328691-AA-001	419	298
OCNT-2315237-AA-004	493122.5	218582
OCNT-2316516-AA-004	149222.5	57568.5
OCNT-2313957-AA-004	1136	234.5
OCNT-2317796-AA-004	4962.5	986.5
OCNT-2328363-BZ-001	130731.5	81045
OCNT-2316212-AA-004	108641.5	49229.5
OCNT-2317492-AA-004	22733	7148.5
OCNT-2313653-AA-004	28131.5	4526
OCNT-2314933-AA-004	37313.5	13606
OCNT-2317812-AA-004	20648.5	4904
OCNT-2315253-AA-004	136114.5	48056
OCNT-2316532-AA-004	47360	18228
OCNT-2328724-AA-001	0	0
OCNT-2313973-AA-004	10131	4749
OCNT-2316228-AA-004	413.5	3001.5
OCNT-0022126-AA-004	186055	133159
OCNT-2317508-AA-004	9190	2936.5
OCNT-2313669-AA-004	8762	3125.5
OCNT-2314949-AA-004	205380.5	84640
OCNT-2328713-AA-001	5241	1032
OCNT-2316548-AA-004	27063	15660.5
OCNT-2315269-AA-004	30963	20585.5
OCNT-2317828-AA-004	284879.5	115897.5
OCNT-2313989-AA-004	54151.5	19649.5
OCNT-2314965-AA-004	33215.5	15972
OCNT-2313685-AA-004	30763.5	12677
OCNT-2317524-AA-004	0	0
OCNT-2316244-AA-004	16131.5	12741
OCNT-0495240-AA-003	213.5	0
OCNT-2317844-AA-004	390886	255727
OCNT-2328742-BA-001	36913	14296.5
OCNT-2315285-AA-004	1244.5	339
OCNT-2316564-AA-004	30686	15637.5
OCNT-2314005-AA-004	18821	5153.5
OCNT-2313701-AA-004	12271.5	1890
OCNT-2317540-AA-004	11110.5	3840
OCNT-2314981-AA-004	97247	41569
OCNT-2328371-AA-001	166.5	0
OCNT-2316260-AA-004	18551	7170.5
OCNT-2317860-AA-004	31878	18475.5
OCNT-2315301-AA-004	1424	141.5
